Trying substitutions to: 15
with goodVertices 1, 2, 3, 4, 7, 8, 9, 10, 12, 13, 14
bad color to improve: 1  3  with index 18
bad color to improve: 1  13  with index 28
bad color to improve: 2  3  with index 32
bad color to improve: 3  7  with index 49
bad color to improve: 3  13  with index 55
bad color to improve: 3  14  with index 56
bad color to improve: 7  9  with index 93
bad color to improve: 7  10  with index 94
bad color to improve: 7  13  with index 97
bad color to improve: 7  14  with index 98
bad color to improve: 10  13  with index 118
bad color to improve: 13  14  with index 131
12 bad colorings on level 1
Solved config  |2, 3| descendents: 
|3, 8, 10, 12, 15 |---| 1, 2, 5, 6, 11, 15|
|3, 3, 1, 1|---> |1, 4| possibles  |9|
|3, 8, 1, 1|---> |2, 4| possibles  |10, 12|
|3, 10, 1, 1|---> |2, 4| possibles  |10, 12|
|3, 12, 1, 1|---> |2, 4| possibles  |10, 12|
|3, 15, 1, 1|---> |1, 4| possibles  |9|
|8, 8, 1, 1|---> |2, 4| possibles  |10, 12|
|8, 10, 1, 1|---> |2, 4| possibles  |10, 12|
|8, 12, 1, 1|---> |2, 4| possibles  |10, 12|
|8, 15, 1, 1|---> |2, 4| possibles  |10, 12|
|10, 10, 1, 1|---> |2, 4| possibles  |10, 12|
|10, 12, 1, 1|---> |2, 4| possibles  |10, 12|
|10, 15, 1, 1|---> |2, 4| possibles  |10, 12|
|12, 12, 1, 1|---> |2, 4| possibles  |10, 12|
|12, 15, 1, 1|---> |2, 4| possibles  |10, 12|
|15, 15, 1, 1|---> |1, 4| possibles  |9|
|3, 3, 1, 2|---> |1, 15| possibles  |3, 9|
|3, 8, 1, 2|---> |2, 15| possibles  |3, 10|
|3, 10, 1, 2|---> |2, 15| possibles  |3, 10|
|3, 12, 1, 2|---> |2, 15| possibles  |3, 10|
|3, 15, 1, 2|---> |1, 15| possibles  |3, 9|
|8, 8, 1, 2|---> |2, 15| possibles  |3, 10|
|8, 10, 1, 2|---> |2, 15| possibles  |3, 10|
|8, 12, 1, 2|---> |2, 15| possibles  |3, 10|
|8, 15, 1, 2|---> |2, 15| possibles  |3, 10|
|10, 10, 1, 2|---> |2, 15| possibles  |3, 10|
|10, 12, 1, 2|---> |2, 15| possibles  |3, 10|
|10, 15, 1, 2|---> |2, 15| possibles  |3, 10|
|12, 12, 1, 2|---> |2, 15| possibles  |3, 10|
|12, 15, 1, 2|---> |2, 15| possibles  |3, 10|
|15, 15, 1, 2|---> |1, 15| possibles  |3, 9|
|3, 3, 1, 5|---> |1, 4| possibles  |9|
|3, 8, 1, 5|---> |2, 4| possibles  |10, 12|
|3, 10, 1, 5|---> |2, 4| possibles  |10, 12|
|3, 12, 1, 5|---> |2, 4| possibles  |10, 12|
|3, 15, 1, 5|---> |1, 4| possibles  |9|
|8, 8, 1, 5|---> |2, 4| possibles  |10, 12|
|8, 10, 1, 5|---> |2, 4| possibles  |10, 12|
|8, 12, 1, 5|---> |2, 4| possibles  |10, 12|
|8, 15, 1, 5|---> |2, 4| possibles  |10, 12|
|10, 10, 1, 5|---> |2, 4| possibles  |10, 12|
|10, 12, 1, 5|---> |2, 4| possibles  |10, 12|
|10, 15, 1, 5|---> |2, 4| possibles  |10, 12|
|12, 12, 1, 5|---> |2, 4| possibles  |10, 12|
|12, 15, 1, 5|---> |2, 4| possibles  |10, 12|
|15, 15, 1, 5|---> |1, 4| possibles  |9|
|3, 3, 1, 6|---> |1, 9| possibles  |4, 15|
|3, 8, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|3, 10, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|3, 12, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|3, 15, 1, 6|---> |1, 9| possibles  |4, 15|
|8, 8, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|8, 10, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|8, 12, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|8, 15, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|10, 10, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|10, 12, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|10, 15, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|12, 12, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|12, 15, 1, 6|---> |2, 9| possibles  |8, 12, 15|
|15, 15, 1, 6|---> |1, 9| possibles  |4, 15|
|3, 3, 1, 11|---> |1, 9| possibles  |4, 15|
|3, 8, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|3, 10, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|3, 12, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|3, 15, 1, 11|---> |1, 9| possibles  |4, 15|
|8, 8, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|8, 10, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|8, 12, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|8, 15, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|10, 10, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|10, 12, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|10, 15, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|12, 12, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|12, 15, 1, 11|---> |2, 9| possibles  |8, 12, 15|
|15, 15, 1, 11|---> |1, 9| possibles  |4, 15|
|3, 3, 1, 15|---> |1, 9| possibles  |4, 15|
|3, 8, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|3, 10, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|3, 12, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|3, 15, 1, 15|---> |1, 9| possibles  |4, 15|
|8, 8, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|8, 10, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|8, 12, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|8, 15, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|10, 10, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|10, 12, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|10, 15, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|12, 12, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|12, 15, 1, 15|---> |2, 9| possibles  |8, 12, 15|
|15, 15, 1, 15|---> |1, 9| possibles  |4, 15|
|3, 3, 2, 2|---> |1, 8| possibles  |0, 9|
|3, 8, 2, 2|---> |2, 8| possibles  |10|
|3, 10, 2, 2|---> |2, 8| possibles  |10|
|3, 12, 2, 2|---> |2, 8| possibles  |10|
|3, 15, 2, 2|---> |1, 8| possibles  |0, 9|
|8, 8, 2, 2|---> |2, 8| possibles  |10|
|8, 10, 2, 2|---> |2, 8| possibles  |10|
|8, 12, 2, 2|---> |2, 8| possibles  |10|
|8, 15, 2, 2|---> |2, 8| possibles  |10|
|10, 10, 2, 2|---> |2, 8| possibles  |10|
|10, 12, 2, 2|---> |2, 8| possibles  |10|
|10, 15, 2, 2|---> |2, 8| possibles  |10|
|12, 12, 2, 2|---> |2, 8| possibles  |10|
|12, 15, 2, 2|---> |2, 8| possibles  |10|
|15, 15, 2, 2|---> |1, 8| possibles  |0, 9|
|3, 3, 2, 5|---> |1, 8| possibles  |0, 9|
|3, 8, 2, 5|---> |2, 8| possibles  |10|
|3, 10, 2, 5|---> |2, 8| possibles  |10|
|3, 12, 2, 5|---> |2, 8| possibles  |10|
|3, 15, 2, 5|---> |1, 8| possibles  |0, 9|
|8, 8, 2, 5|---> |2, 8| possibles  |10|
|8, 10, 2, 5|---> |2, 8| possibles  |10|
|8, 12, 2, 5|---> |2, 8| possibles  |10|
|8, 15, 2, 5|---> |2, 8| possibles  |10|
|10, 10, 2, 5|---> |2, 8| possibles  |10|
