Trying substitutions to: 12
with goodVertices 1, 2, 3, 4, 6, 7, 8, 9, 10, 13, 14
bad color to improve: 2  13  with index 42
bad color to improve: 4  13  with index 67
bad color to improve: 6  13  with index 88
3 bad colorings on level 1
Solved config  |4, 13| descendents: 
|1, 5, 9, 10, 12, 14 |---| 0, 5, 6, 11, 12, 15|
|1, 1, 0, 0|---> |3, 8| possibles  |2, 5|
|1, 5, 0, 0|---> |3, 8| possibles  |2, 5|
|1, 9, 0, 0|---> |1, 4| possibles  |9|
|1, 10, 0, 0|---> |1, 4| possibles  |9|
|1, 12, 0, 0|---> |1, 4| possibles  |9|
|1, 14, 0, 0|---> |1, 4| possibles  |9|
|5, 5, 0, 0|---> |3, 8| possibles  |2, 5|
|5, 9, 0, 0|---> |1, 4| possibles  |9|
|5, 10, 0, 0|---> |1, 4| possibles  |9|
|5, 12, 0, 0|---> |1, 4| possibles  |9|
|5, 14, 0, 0|---> |1, 4| possibles  |9|
|9, 9, 0, 0|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 0, 0|---> |1, 4| possibles  |9|
|9, 12, 0, 0|---> |1, 4| possibles  |9|
|9, 14, 0, 0|---> |1, 4| possibles  |9|
|10, 10, 0, 0|---> |1, 2| possibles  |3, 15|
|10, 12, 0, 0|---> |1, 2| possibles  |3, 15|
|10, 14, 0, 0|---> |1, 4| possibles  |9|
|12, 12, 0, 0|---> |1, 2| possibles  |3, 15|
|12, 14, 0, 0|---> |1, 4| possibles  |9|
|14, 14, 0, 0|---> |1, 4| possibles  |9|
|1, 1, 0, 5|---> |3, 8| possibles  |2, 5|
|1, 5, 0, 5|---> |3, 8| possibles  |2, 5|
|1, 9, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|1, 10, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|1, 12, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|1, 14, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|5, 5, 0, 5|---> |3, 8| possibles  |2, 5|
|5, 9, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|5, 10, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|5, 12, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|5, 14, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|9, 9, 0, 5|---> |1, 8| possibles  |0, 9|
|9, 10, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|9, 12, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|9, 14, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|10, 10, 0, 5|---> |2, 8| possibles  |10|
|10, 12, 0, 5|---> |2, 8| possibles  |10|
|10, 14, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|12, 12, 0, 5|---> |2, 8| possibles  |10|
|12, 14, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|14, 14, 0, 5|---> |4, 8| possibles  |5, 9, 10, 14|
|1, 1, 0, 6|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 5, 0, 6|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 9, 0, 6|---> |10, 15| possibles  |2, 7|
|1, 10, 0, 6|---> |10, 15| possibles  |2, 7|
|1, 12, 0, 6|---> |9, 10| possibles  |4, 6, 7, 8, 11, 15|
|1, 14, 0, 6|---> |10, 15| possibles  |2, 7|
|5, 5, 0, 6|---> |3, 10| possibles  |2, 6, 11, 15|
|5, 9, 0, 6|---> |7, 10| possibles  |6, 15|
|5, 10, 0, 6|---> |7, 10| possibles  |6, 15|
|5, 12, 0, 6|---> |10, 13| possibles  |0, 6, 11, 15|
|5, 14, 0, 6|---> |8, 10| possibles  |0, 2|
|9, 9, 0, 6|---> |1, 10| possibles  |0, 4, 15|
|9, 10, 0, 6|---> |6, 10| possibles  |0, 7|
|9, 12, 0, 6|---> |6, 10| possibles  |0, 7|
|9, 14, 0, 6|---> |6, 10| possibles  |0, 7|
|10, 10, 0, 6|---> |2, 10| possibles  |8, 15|
|10, 12, 0, 6|---> |2, 10| possibles  |8, 15|
|10, 14, 0, 6|---> |6, 10| possibles  |0, 7|
|12, 12, 0, 6|---> |2, 10| possibles  |8, 15|
|12, 14, 0, 6|---> |6, 10| possibles  |0, 7|
|14, 14, 0, 6|---> |6, 10| possibles  |0, 7|
|1, 1, 0, 11|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 5, 0, 11|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 9, 0, 11|---> |10, 15| possibles  |2, 7|
|1, 10, 0, 11|---> |10, 15| possibles  |2, 7|
|1, 12, 0, 11|---> |9, 10| possibles  |4, 6, 7, 8, 11, 15|
|1, 14, 0, 11|---> |10, 15| possibles  |2, 7|
|5, 5, 0, 11|---> |3, 10| possibles  |2, 6, 11, 15|
|5, 9, 0, 11|---> |7, 10| possibles  |6, 15|
|5, 10, 0, 11|---> |7, 10| possibles  |6, 15|
|5, 12, 0, 11|---> |10, 13| possibles  |0, 6, 11, 15|
|5, 14, 0, 11|---> |8, 10| possibles  |0, 2|
|9, 9, 0, 11|---> |1, 10| possibles  |0, 4, 15|
|9, 10, 0, 11|---> |6, 10| possibles  |0, 7|
|9, 12, 0, 11|---> |6, 10| possibles  |0, 7|
|9, 14, 0, 11|---> |6, 10| possibles  |0, 7|
|10, 10, 0, 11|---> |2, 10| possibles  |8, 15|
|10, 12, 0, 11|---> |2, 10| possibles  |8, 15|
|10, 14, 0, 11|---> |6, 10| possibles  |0, 7|
|12, 12, 0, 11|---> |2, 10| possibles  |8, 15|
|12, 14, 0, 11|---> |6, 10| possibles  |0, 7|
|14, 14, 0, 11|---> |6, 10| possibles  |0, 7|
|1, 1, 0, 12|---> |3, 13| possibles  |5, 6, 11, 15|
|1, 5, 0, 12|---> |3, 13| possibles  |5, 6, 11, 15|
|1, 9, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 10, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 12, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 14, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|5, 5, 0, 12|---> |3, 13| possibles  |5, 6, 11, 15|
|5, 9, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|5, 10, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|5, 12, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|5, 14, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 9, 0, 12|---> |1, 6| possibles  |0, 3, 9|
|9, 10, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 12, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|9, 14, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|10, 10, 0, 12|---> |2, 6| possibles  |3, 10, 12|
|10, 12, 0, 12|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|12, 12, 0, 12|---> |2, 6| possibles  |3, 10, 12|
|12, 14, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|14, 14, 0, 12|---> |4, 6| possibles  |9, 10, 12, 14|
|1, 1, 0, 15|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 5, 0, 15|---> |3, 10| possibles  |2, 6, 11, 15|
|1, 9, 0, 15|---> |1, 4| possibles  |9|
|1, 10, 0, 15|---> |1, 4| possibles  |9|
|1, 12, 0, 15|---> |1, 4| possibles  |9|
|1, 14, 0, 15|---> |1, 4| possibles  |9|
|5, 5, 0, 15|---> |3, 10| possibles  |2, 6, 11, 15|
|5, 9, 0, 15|---> |1, 4| possibles  |9|
|5, 10, 0, 15|---> |1, 4| possibles  |9|
|5, 12, 0, 15|---> |1, 4| possibles  |9|
|5, 14, 0, 15|---> |1, 4| possibles  |9|
|9, 9, 0, 15|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 0, 15|---> |1, 4| possibles  |9|
|9, 12, 0, 15|---> |1, 4| possibles  |9|
|9, 14, 0, 15|---> |1, 4| possibles  |9|
|10, 10, 0, 15|---> |1, 2| possibles  |3, 15|
|10, 12, 0, 15|---> |1, 2| possibles  |3, 15|
|10, 14, 0, 15|---> |1, 4| possibles  |9|
|12, 12, 0, 15|---> |1, 2| possibles  |3, 15|
|12, 14, 0, 15|---> |1, 4| possibles  |9|
|14, 14, 0, 15|---> |1, 4| possibles  |9|
|0, 0, 1, 1|---> |1, 4| possibles  |9|
|0, 5, 1, 1|---> |3, 8| possibles  |2, 5|
|0, 6, 1, 1|---> |3, 10| possibles  |2, 6, 11, 15|
|0, 11, 1, 1|---> |3, 10| possibles  |2, 6, 11, 15|
|0, 12, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|0, 15, 1, 1|---> |1, 4| possibles  |9|
|5, 5, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 12, 1, 1|---> |3, 4| possibles  |1, 5|
|5, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 12, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 12, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|11, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|12, 12, 1, 1|---> |2, 4| possibles  |10, 12|
|12, 15, 1, 1|---> |2, 4| possibles  |10, 12|
|15, 15, 1, 1|---> |1, 4| possibles  |9|
|0, 0, 1, 5|---> |1, 4| possibles  |9|
|0, 5, 1, 5|---> |3, 8| possibles  |2, 5|
|0, 6, 1, 5|---> |3, 10| possibles  |2, 6, 11, 15|
|0, 11, 1, 5|---> |3, 10| possibles  |2, 6, 11, 15|
|0, 12, 1, 5|---> |4, 6| possibles  |9, 10, 12, 14|
|0, 15, 1, 5|---> |1, 4| possibles  |9|
|5, 5, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 6, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 11, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 12, 1, 5|---> |3, 4| possibles  |1, 5|
|5, 15, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 6, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 11, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 12, 1, 5|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 15, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 11, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 12, 1, 5|---> |3, 9| possibles  |1, 6, 11, 15|
|11, 15, 1, 5|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|12, 12, 1, 5|---> |2, 4| possibles  |10, 12|
|12, 15, 1, 5|---> |2, 4| possibles  |10, 12|
|15, 15, 1, 5|---> |1, 4| possibles  |9|
|0, 0, 1, 9|---> |1, 4| possibles  |9|
|0, 5, 1, 9|---> |4, 8| possibles  |5, 9, 10, 14|
|0, 6, 1, 9|---> |10, 15| possibles  |2, 7|
|0, 11, 1, 9|---> |10, 15| possibles  |2, 7|
|0, 12, 1, 9|---> |4, 6| possibles  |9, 10, 12, 14|
