Trying substitutions to: 6
with goodVertices 1, 2, 3, 5, 7, 8, 9, 10, 12, 13, 14, 15
bad color to improve: 0  13  with index 13
bad color to improve: 9  12  with index 111
bad color to improve: 12  13  with index 127
bad color to improve: 12  14  with index 128
4 bad colorings on level 1
Solved config  |12, 14| descendents: 
|2, 4, 6, 9, 13 |---| 4, 6, 8, 11, 15|
|4, 4, 2, 2|---> |1, 3| possibles  |15|
|4, 6, 2, 2|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 8, 2, 2|---> |5, 10| possibles  |4, 7, 8|
|4, 11, 2, 2|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 15, 2, 2|---> |1, 3| possibles  |15|
|6, 6, 2, 2|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 8, 2, 2|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 11, 2, 2|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 15, 2, 2|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|8, 8, 2, 2|---> |2, 3| possibles  |15|
|8, 11, 2, 2|---> |3, 9| possibles  |1, 6, 11, 15|
|8, 15, 2, 2|---> |2, 3| possibles  |15|
|11, 11, 2, 2|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 15, 2, 2|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|15, 15, 2, 2|---> |1, 3| possibles  |15|
|4, 4, 2, 4|---> |1, 10| possibles  |0, 4, 15|
|4, 6, 2, 4|---> |9, 10| possibles  |4, 6, 7, 8, 11, 15|
|4, 8, 2, 4|---> |5, 10| possibles  |4, 7, 8|
|4, 11, 2, 4|---> |9, 10| possibles  |4, 6, 7, 8, 11, 15|
|4, 15, 2, 4|---> |1, 10| possibles  |0, 4, 15|
|6, 6, 2, 4|---> |3, 10| possibles  |2, 6, 11, 15|
|6, 8, 2, 4|---> |9, 10| possibles  |4, 6, 7, 8, 11, 15|
|6, 11, 2, 4|---> |3, 10| possibles  |2, 6, 11, 15|
|6, 15, 2, 4|---> |3, 10| possibles  |2, 6, 11, 15|
|8, 8, 2, 4|---> |2, 10| possibles  |8, 15|
|8, 11, 2, 4|---> |9, 10| possibles  |4, 6, 7, 8, 11, 15|
|8, 15, 2, 4|---> |2, 10| possibles  |8, 15|
|11, 11, 2, 4|---> |3, 10| possibles  |2, 6, 11, 15|
|11, 15, 2, 4|---> |3, 10| possibles  |2, 6, 11, 15|
|15, 15, 2, 4|---> |1, 10| possibles  |0, 4, 15|
|4, 4, 2, 6|---> |1, 3| possibles  |15|
|4, 6, 2, 6|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 8, 2, 6|---> |5, 10| possibles  |4, 7, 8|
|4, 11, 2, 6|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 15, 2, 6|---> |1, 3| possibles  |15|
|6, 6, 2, 6|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
