Trying substitutions to: 8
with goodVertices 2, 3, 4, 5, 7, 9, 10, 12, 13, 14, 15
bad color to improve: 0  9  with index 9
bad color to improve: 0  10  with index 10
bad color to improve: 0  14  with index 14
3 bad colorings on level 1
Solved config  |0, 9| descendents: 
|1, 6, 8, 10, 13 |---| 1, 4, 6, 7, 8, 11, 12, 15|
|1, 1, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 1, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 4, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|1, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 7, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|1, 8, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|1, 8, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|1, 10, 1, 1|---> |3, 4| possibles  |1, 5|
|1, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 12, 1, 1|---> |3, 4| possibles  |1, 5|
|1, 13, 1, 1|---> |3, 15| possibles  |1, 2|
|1, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|4, 4, 1, 1|---> |1, 3| possibles  |15|
|4, 6, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 7, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|4, 8, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|4, 11, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 12, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|4, 15, 1, 1|---> |1, 3| possibles  |15|
|6, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 7, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 8, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 8, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 10, 1, 1|---> |3, 7| possibles  |5, 6, 15|
|6, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 12, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 13, 1, 1|---> |3, 12| possibles  |2, 6|
|6, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|7, 7, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|7, 8, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|7, 11, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|7, 12, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|7, 15, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|8, 8, 1, 1|---> |2, 3| possibles  |15|
|8, 8, 1, 1|---> |2, 3| possibles  |15|
|8, 10, 1, 1|---> |2, 3| possibles  |15|
|8, 11, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|8, 12, 1, 1|---> |2, 3| possibles  |15|
|8, 13, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|8, 15, 1, 1|---> |2, 3| possibles  |15|
|10, 10, 1, 1|---> |2, 3| possibles  |15|
|10, 13, 1, 1|---> |4, 6| possibles  |9, 10, 12, 14|
|11, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 12, 1, 1|---> |3, 9| possibles  |1, 6, 11, 15|
|11, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|12, 12, 1, 1|---> |2, 3| possibles  |15|
|12, 15, 1, 1|---> |2, 3| possibles  |15|
|13, 13, 1, 1|---> |5, 9| possibles  |4, 7, 8|
|15, 15, 1, 1|---> |1, 3| possibles  |15|
|1, 1, 1, 4|---> |3, 9| possibles  |1, 6, 11, 15|
|1, 6, 1, 4|---> |3, 9| possibles  |1, 6, 11, 15|
|1, 8, 1, 4|---> |9, 9| possibles  |1, 4, 6, 7, 8, 11, 12, 15|
|1, 10, 1, 4|---> |4, 9| possibles  |1, 12|
|1, 13, 1, 4|---> |9, 15| possibles  |1, 7|
|6, 6, 1, 4|---> |3, 9| possibles  |1, 6, 11, 15|
|6, 8, 1, 4|---> |9, 9| possibles  |1, 4, 6, 7, 8, 11, 12, 15|
|6, 10, 1, 4|---> |7, 9| possibles  |6, 15|
|6, 13, 1, 4|---> |9, 12| possibles  |4, 6|
|8, 8, 1, 4|---> |2, 9| possibles  |8, 12, 15|
|8, 10, 1, 4|---> |2, 9| possibles  |8, 12, 15|
|8, 13, 1, 4|---> |5, 9| possibles  |4, 7, 8|
|10, 10, 1, 4|---> |2, 9| possibles  |8, 12, 15|
|10, 13, 1, 4|---> |6, 9| possibles  |7, 12|
