Trying substitutions to: 5
with goodVertices 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
bad color to improve: 3  4  with index 46
bad color to improve: 8  13  with index 105
2 bad colorings on level 1
Solved config  |3, 4| descendents: 
|1, 2, 5, 6, 11, 15 |---| 1, 5, 9, 10, 12, 14|
|1, 1, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 1, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 2, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 5, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 5, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 9, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|1, 10, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|1, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|1, 12, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|1, 14, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|1, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|2, 2, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|2, 5, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|2, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|2, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|2, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 5, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 5, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 9, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|5, 10, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|5, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|5, 12, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|5, 14, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|5, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 6, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|6, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|9, 9, 1, 1|---> |1, 3| possibles  |15|
|9, 10, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|9, 12, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|9, 14, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|10, 10, 1, 1|---> |2, 3| possibles  |15|
|10, 12, 1, 1|---> |2, 3| possibles  |15|
|10, 14, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
|11, 11, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|11, 15, 1, 1|---> |3, 3| possibles  |1, 2, 5, 6, 11, 15|
|12, 12, 1, 1|---> |2, 3| possibles  |15|
|12, 14, 1, 1|---> |4, 4| possibles  |1, 5, 9, 10, 12, 14|
