Trying substitutions to: 8
with goodVertices 2, 3, 4, 6, 9, 13, 15
bad color to improve: 0  2  with index 2
1 bad colorings on level 1
Solved config  |0, 2| descendents: 
|1, 6, 8, 10, 13 |---| 3, 8, 10, 12, 15|
|3, 3, 1, 1|---> |1, 3| possibles  |15|
|3, 8, 1, 1|---> |2, 3| possibles  |15|
|3, 10, 1, 1|---> |2, 3| possibles  |15|
|3, 12, 1, 1|---> |2, 3| possibles  |15|
|3, 15, 1, 1|---> |1, 3| possibles  |15|
|8, 8, 1, 1|---> |2, 3| possibles  |15|
|8, 10, 1, 1|---> |2, 3| possibles  |15|
|8, 12, 1, 1|---> |2, 3| possibles  |15|
|8, 15, 1, 1|---> |2, 3| possibles  |15|
|10, 10, 1, 1|---> |2, 3| possibles  |15|
|10, 12, 1, 1|---> |2, 3| possibles  |15|
|10, 15, 1, 1|---> |2, 3| possibles  |15|
|12, 12, 1, 1|---> |2, 3| possibles  |15|
|12, 15, 1, 1|---> |2, 3| possibles  |15|
|15, 15, 1, 1|---> |1, 3| possibles  |15|
|3, 3, 1, 6|---> |1, 3| possibles  |15|
|3, 8, 1, 6|---> |2, 3| possibles  |15|
|3, 10, 1, 6|---> |2, 3| possibles  |15|
|3, 12, 1, 6|---> |2, 3| possibles  |15|
|3, 15, 1, 6|---> |1, 3| possibles  |15|
|8, 8, 1, 6|---> |2, 3| possibles  |15|
|8, 10, 1, 6|---> |2, 3| possibles  |15|
|8, 12, 1, 6|---> |2, 3| possibles  |15|
|8, 15, 1, 6|---> |2, 3| possibles  |15|
|10, 10, 1, 6|---> |2, 3| possibles  |15|
|10, 12, 1, 6|---> |2, 3| possibles  |15|
|10, 15, 1, 6|---> |2, 3| possibles  |15|
|12, 12, 1, 6|---> |2, 3| possibles  |15|
|12, 15, 1, 6|---> |2, 3| possibles  |15|
|15, 15, 1, 6|---> |1, 3| possibles  |15|
|3, 3, 1, 8|---> |1, 9| possibles  |4, 15|
|3, 8, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|3, 10, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|3, 12, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|3, 15, 1, 8|---> |1, 9| possibles  |4, 15|
|8, 8, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|8, 10, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|8, 12, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|8, 15, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|10, 10, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|10, 12, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|10, 15, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|12, 12, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|12, 15, 1, 8|---> |2, 9| possibles  |8, 12, 15|
|15, 15, 1, 8|---> |1, 9| possibles  |4, 15|
|3, 3, 1, 10|---> |1, 4| possibles  |9|
|3, 8, 1, 10|---> |2, 15| possibles  |3, 10|
|3, 10, 1, 10|---> |2, 15| possibles  |3, 10|
|3, 12, 1, 10|---> |2, 15| possibles  |3, 10|
|3, 15, 1, 10|---> |1, 4| possibles  |9|
|8, 8, 1, 10|---> |2, 15| possibles  |3, 10|
|8, 10, 1, 10|---> |2, 15| possibles  |3, 10|
|8, 12, 1, 10|---> |2, 15| possibles  |3, 10|
|8, 15, 1, 10|---> |2, 15| possibles  |3, 10|
|10, 10, 1, 10|---> |2, 15| possibles  |3, 10|
|10, 12, 1, 10|---> |2, 15| possibles  |3, 10|
|10, 15, 1, 10|---> |2, 15| possibles  |3, 10|
|12, 12, 1, 10|---> |2, 15| possibles  |3, 10|
|12, 15, 1, 10|---> |2, 15| possibles  |3, 10|
|15, 15, 1, 10|---> |1, 4| possibles  |9|
|3, 3, 1, 13|---> |1, 15| possibles  |3, 9|
|3, 8, 1, 13|---> |2, 15| possibles  |3, 10|
|3, 10, 1, 13|---> |2, 15| possibles  |3, 10|
|3, 12, 1, 13|---> |2, 15| possibles  |3, 10|
|3, 15, 1, 13|---> |1, 15| possibles  |3, 9|
|8, 8, 1, 13|---> |2, 15| possibles  |3, 10|
|8, 10, 1, 13|---> |2, 15| possibles  |3, 10|
